certificate_id,film_name,cut_no,mod_type,content_category,content_type,description,tcr_timestamps,deleted,replaced,inserted,total_modified_time
100010842400007440,THE HANGOVER PART II,3,insertion,other,title,INSERTED CAST AND CREDIT LOCALIZATION LANGUAGE IN TAMIL OF 00.10 SECONDS.,00.10,0,0,0.016666666666666666,0.02
100010842400007888,ALTITUDE FILM SALES LIMITED,1,deletion,other,scene,Deleted the visuals of skeleton. 02.57 to 02.58,02.57 to 02.58,0.016666666666666666,0,0,0.02
100010842400007888,ALTITUDE FILM SALES LIMITED,2,deletion,other,scene,Deleted the visuals of snake getting hurt 50.57 to 50.58,50.57 to 50.58,0.016666666666666666,0,0,0.02
100010842400007888,ALTITUDE FILM SALES LIMITED,3,deletion,other,scene,Deleted the visuals of woman cutting the skin of the neck. 59.36 to 59.49,59.36 to 59.49,0.21666666666666667,0,0,0.22
100010842400007888,ALTITUDE FILM SALES LIMITED,4,deletion,other,scene,Deleted the visuals of snake wrapping around the neck of the girl. 01.10.33 to 01.11.02,"01.10.33, 01.11.02",0.48333333333333334,0,0,0.48
100010842400007888,ALTITUDE FILM SALES LIMITED,5,deletion,violence,scene,Deleted the visuals of man killing snake. 01.11.14 to 01.11.19,"01.11.14, 01.11.19",0.08333333333333333,0,0,0.08
100010842400007888,ALTITUDE FILM SALES LIMITED,6,deletion,other,scene,Deleted the visuals of woman cutting the head of snake. 01.11.34 to 01.11.43,"01.11.34, 01.11.43",0.15,0,0,0.15
100010842400008256,"CARDINAL XD, LLC",1,insertion,other,title,Added main and credit title in Tamil,NANA,0,0,0,0
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,1,audio,profanity,dialogue,"Muted word KAMINE AT TCR 41.12, 1.10.12,","41.12, 1.10",0,0,0,0
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,2,audio,profanity,dialogue,Muted word Salaa - 46:57 - 47.27 - 47:50 - 48:11 - 48:35 - 48:46 - 48:50 - 48:53 - 01:00:08 - 01:03:01- 01:03:06 01:05:14 - 01:05:46 -01:06:56 - 01:08:10,"47.27, 47:50 - 48:11, 48:35 - 48:46, 48:50 - 48:53, 01:00:08, 01:03:01, 01:03:06, 01:05:14, 01:05:46, 01:06:56, 01:08:10",0,0,0,0
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,3,audio,profanity,dialogue,Muted word Haramzade : 01:05:16,01:05:16,0,0,0,0
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,4,deletion,other,scene,DELETED THE VISUAL OF STRIPPER DANCING ON STAGE AND NUDITY AT TCR 43:59 to 44:02,43:59 to 44:02,0.05,0,0,0.05
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,5,deletion,violence,scene,DELETED THE VISUAL OF MAN STABBED IN STOMACH BLOOD OOZING OUT LADY TRYING TO PRESS THE WOUND FOR STOPPING BLOOD 1.09.41 to 1.09.44,1.09,0.05,0,0,0.05
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,6,deletion,violence,scene,DELETED THE VISUAL OF MAN STABBED brutally AT TCR 1.19.24 to to 01:19:28,"1.19, 01:19:28",0.06666666666666667,0,0,0.07
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,7,deletion,violence,scene,DELETED THE VISUAL OF FIGHTING SCENE BETWEEN A MAN AND woman at TCR 01:19:48 to 01:19:57,"01:19:48, 01:19:57",0.15,0,0,0.15
100010842400008816,LIONS GATE PLAY LLP- MUMBAI,8,deletion,other,scene,Deleted the flight shot hitting man on Head 01:20:09 to 01:20:17,"01:20:09, 01:20:17",0.13333333333333333,0,0,0.13
100010842400008736,ANYONE BUT YOU,1,replacement,other,title,Corrected Film Title in Telugu,NANA,0,0,0,0
100010842400008736,ANYONE BUT YOU,2,overlay,other,title,Superimpose Film Credits in Telugu,NANA,0,0,0,0
100010842400008736,ANYONE BUT YOU,3,overlay,substance,technical,Superimposed anti-liquor static message in Telugu from TCR-00:51:00:00 to 00:55:00:00 and 01:18:41:00,"00:51:00:00, 00:55:00:00, 01:18:41:00",0,0,0,0
100010842400008736,ANYONE BUT YOU,4,audio,sexual,dialogue,Muted obscene word at TCR-00:40:22:00,00:40:22:00,0,0,0,0
100010842400009744,BATS HUMAN HARVEST,1,overlay,substance,technical,Superimposed anti-liquor static message in Tamil at TCR-01:05:50:00,01:05:50:00,0,0,0,0
