id,movie_name,language
100030292300000409,VIZHITHELU,Tamil
100030291900000786,VIYUHAM,Tamil
100010291900000345,VIXEN: THE MOVIE,English with English Subtitles
100040292200000078,VIVRANT,Odia
100010292500001233,MANDAL AABHARI AAHE,Marathi
100030292300002769,VIVESINI,Tamil
100090292300000652,VIVEKANANDAN VIRALANU,Malayalam
100050292300000335,GHODA DHAI KADAM,Punjabi
100050291900000582,BLACKIA,Punjabi
100050292500000197,KRIPYA DHYAAN DEIN,Hindi
100030291700000282,VIVEGAM,Tamil
100030292200001961,VIVASAEY ENNUM NAAN,Tamil
100010292400005297,VIVARIUM,Tamil
100070292300000240,VIVAHA VIRUNNU,Malayalam
100070292100000467,"""VIVAHA BHOJANAMBU""",Telugu with English Subtitles
100090292200000450,VIVAHA AAVAHANAM,Malayalam
100010292300009410,VIVAH 3,Bhojpuri
100010291900011464,NAAGDHARI,Bhojpuri
100010292100005086,VIVAAH 2,Bhojpuri
100010292300003446,VIVA LAS NOWHERE,English
100010292000001456,VIKUN TAAK,Marathi with English Subtitle
100010291900002355,DOKYALA SHOT,Marathi with English Subtitle
100070292000000114,VITTAL WADI,Telugu
100010292200009800,VITTAL WADI,Hindi
100030292200002665,VITHI EN3,Tamil
100030292400000205,VITHAIKKAARAN,Tamil
100090292000000291,VISWASAM,Malayalam with English Subtitle
100030291900000012,VISWASAM,Tamil
100070291900000357,VISWAMITRA,Telugu
100070292500000210,"""VISWAM""",Kannada
100070292500000213,"""VISWAM""",Malayalam
100070292500000226,"""VISWAM""",Tamil
100070292400000962,"""VISWAM""",Telugu
100070292500000184,VISWAM,Hindi
100080291800000264,AATMAJA,Bengali
100020291700000102,VISMAYA,Kannada
100030292100001892,VISITHIRAN,Tamil
100030291700000839,VISIRI,Tamil
100010291800013811,VISIRI,Hindi
100010292500002108,OYE BHOOTNI KE,Hindi
100010292300000404,AYASSH DIL,Hindi
100010292200009812,TEESMARKHAN,Hindi
100010291900013141,EK VANCHIT,Marathi with English Subtitle
100010292500000480,VISHWASATHA,Gujarati
100030291800000518,VISHWAROOPAM II,Tamil
100010291800006691,VISHWAROOP II,Hindi
100070292200000081,"""VISHWAK""",Telugu
100010292300003348,BALOCH,Marathi
100090291900000560,VISHUDHA RATHRIKAL,Malayalam with English Subtitle
100090291900000219,VISHUDHA PUSTHAKAM,Malayalam with English Subtitle
100010292100007123,"""BHARAT PRAKRITI KA BALAK""",HINDI PARTLY ENGLISH
100010292500000151,A MUMBAI GIRL,Hindi
100010292200008581,CHENNAI DIARIES,Hindi
100020292000000414,KALYANA KUVARA,Kannada with English Subtitles
100010291900002626,SANGHARSH.,Hindi
100010291900002624,GHULAM.,Hindi
100010291900002557,JUNOON',Hindi
100010291900002533,CRIMINAL.,Hindi
100010292400004502,VISHAY HARD,Marathi
100070291800000489,VISHAPURAM ZOMBIELA DHADI,Telugu
100030292200000889,VISHAMAKARAN,Tamil
100010291900002633,VISHAL SINGH BANE RAAJKUMAR,Bhojpuri
100040292100000032,DASHING DETECTIVE,Bhojpuri
100030292200002787,VISHAL IN LATHTHI CHARGE,Tamil
100030292300000271,VISHAL IN LAATTI CHARGE,Kannada
100010292200003716,VEERA THE POWER,Hindi
100050291800000557,RADUAA,Punjabi
100030292100000391,VISHAL CHAKRA,Telugu
100070291900000681,"""VISHAKAPATTANA KENDRAM""",Telugu
100010292400001476,VISFOT,Hindi
100030291900001328,VIRUTHU,Tamil
100010292000000940,VIRUS,Bhojpuri
100010291900003127,VIRUS,Bhojpuri
100070292300000597,""" VIRUPAKSHA """,Tamil
100070292300000596,"""VIRUPAKSHA""",Kannada
100070292300000433,VIRUPAKSHA,Malayalam
100070292300000349,""" VIRUPAKSHA """,Telugu
100010292300006628,VIRUPAKSHA,Hindi
100090292300000340,VIRUNNU,Malayalam
100030292200002389,VIRUMAN,Malayalam
100030292200001623,VIRUMAN,Tamil
100030291700000576,VIRUGAM - REVISED,Tamil
100010291900001394,VIRUGAM,Hindi
100010292100000688,VIRGIN BHANUPRIYA,Hindi
100010292000003832,"""VIRGIN BHANUPRIYA""",Hindi
100010292000000680,BUNIYAAD,Hindi
100070292200000570,"""VIRATAPARVAM""",Telugu
100010292200008506,VIRATAPARVAM,Hindi
100070291900000760,VIRASASTA AYYAPPA KATAKSHAM,Telugu
100010292200001533,CHIMNYA,Marathi
100020292400000711,VIRAMADA NANTARA,Kannada
100090292400000572,VIRALI,Tamil
100090292100000433,VIRAL SEBI,Malayalam
100090292400000274,VIRAL 2020,Malayalam
100070292400000658,VIRAAJI,Telugu
100090291900000253,VIPLAVAM JAYIKKANULLATHANU,Malayalam
100070292200001336,VIPLAVA SENANI VEERA GUNNAMMA,Telugu
100010291900010533,VIP GADHAV,Marathi
100030291800000228,VINVELI PAYANA KURIPPUKAL,Tamil
100010292300000088,POIKKAL KUTHIRAI,Hindi
100010292200006992,MARDONA,Hindi
100050292500000106,INN GALIYON MEIN,Hindi
100030292400001174,VINNUDAN,Tamil
100050292200000649,RAEBARELI,Hindi
100030292200002914,VINDHYA VICTIM VERDICT V3,Tamil
100010292300001417,VINAYA VIDHEYA RAMA,Hindi
100050292200000544,27 SEPTEMBER,Hindi
100020291800000339,MEGHA ALIAS MAGGI,Kannada
100050292100000271,MASAND,Punjabi
100050292500000229,LAW MASTER,Hindi
100020292000000348,GANDULI,Kannada
100050292300000981,HUKUS BUKUS,Hindi
100010291900014056,VINASHKAAL,Hindi
100010291900013753,VINASHAK,Bhojpuri
100030291800000703,VINAI ARIYAR,Tamil
100030292300001272,VIMANAM,Tamil
100070292300000559,"""VIMANAM """,Telugu
100010292200000203,VILLU – SHAKTISHALI,Urdu
100010292300002952,VILLU,Hindustani
100010292200006350,VILLALIVEERAN,Hindi
100010291900014541,VILLAINS,English
100010292200000569,VILLAIN EK PREM KAHANI,Bhojpuri
100020292500000065,VILASA,Hindi
100030292200002972,VILANGU,Tamil
100030292300001411,VIL VITHAI,Tamil
100010291900003932,AASUDGATH,Marathi
100070291900000022,"""VIKRAMASIMHA""",Telugu
100020291900000238,VIKRAMARKA,Kannada
100030292100001101,VIKRAMADHITHYAN,TAMIL WITH ENGLISH SUBTITLES
100030291700000166,VIKRAM VEDHA,Tamil
100010292200008140,VIKRAM VEDHA,Hindi
100010291800005418,VIKRAM VEDHA,Hindi
100030292200001897,VIKRAM THE COBRA,Kannada
