Film Name,Year,URL
ADVERTISEMENT OF THE FILM “AAROGYA SRI CARD SCAM”,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTIyMDI1MDAwNzY=
ADVERTISEMENT OF THE FILM “CREDIT CARD SCAM”,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTIyMDI1MDAwOTE=
ADVERTISEMENT OF THE FILM “DRUGS PARCEL SCAM”,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTIyMDI1MDAxMTE=
ADVERTISEMENT OF THE FILM “MONEY LAUNDERING”,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTIyMDI1MDAwNTQ=
ADVERTISEMENT OF THE FILM “ONLINE BLACK MAIL”,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTIyMDI1MDAwNjU=
ADVERTISEMENT OF THE FILM “REWARD POINTS LINK SCAM”,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MTIyMDI1MDAwODA=
ADVERTISEMENT: JAIN PUBLIC SCHOOL KORBA,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTI3MDEyMDI2MDAwOTE=
"ADVT OF ""AMBITUS WORLD SCHOOL""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEyMDEyMDI2MDAwMzI=
"ADVT OF ""ARSUN PEARL PARK""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAzMDEyMDI2MDAwNDM=
"ADVT OF ""LALITHA SHOPPING MALL """,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA5MDEyMDI2MDAwMTY=
"ADVT OF ""RIO UNLIMITED RESTAURANT""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDEyMDI2MDAwNDE=
"ADVT OF ""SAI KRISHNA EXBITION """,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAyMDEyMDI2MDAwMjA=
"ADVT OF ""SIRIMALLE""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA1MDEyMDI2MDAwMTI=
"ADVT OF ""SRI SKANDA IIT AND MEDICAL ACADEMY""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDEyMDI2MDAwMzA=
"ADVT OF ""THE VINTAGE""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA4MDEyMDI2MDAwNTI=
"ADVT OF ""UMAA SLEEPING BEDS""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDEyMDI2MDAwMjY=
"ADVT OF ""VISWASAI EDUCATION""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI5MTIyMDI1MDAwMzQ=
ADVT OF BLISS VALLEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA1MDEyMDI2MDAxMDI=
ADVT OF ESSENCE ERA,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzEyMDEyMDI2MDAwMjE=
ADVT OF PEEKABOO,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MDEyMDI2MDAwNzI=
ADVT OF SR SHOPPING MALL,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA3MDEyMDI2MDAwMzY=
ADVT OF SR SHOPPING MALL AD 2,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA3MDEyMDI2MDAwNDA=
ADVT OF SSS FORTUNE SUITES CONVENTIONS,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzE0MDEyMDI2MDAwMTI=
ADVT OF SVITCH RAW,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA2MDEyMDI2MDAwMjQ=
ADVT OF TRIDEVA EV INDUSTRIES,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA1MDEyMDI2MDAwOTM=
